piste.name,piste.created_at,piste.updated_at,sample.state,sample.created_at,sample.updated_at
Gentianes - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-17 15:12:20 UTC,2019-03-17 15:12:20 UTC
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Gentianes - La Chaux,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Mt - Fort,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Gentianes - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Sud,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Moay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-30 07:12:10 UTC,2019-03-30 07:12:10 UTC
Monneyeux,2019-03-27 10:32:35 UTC,2019-03-27 10:32:35 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Moay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Grand - Tsai,2019-03-27 10:32:35 UTC,2019-03-27 10:32:35 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Sur le Six,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
