piste.name,piste.created_at,piste.updated_at,sample.state,sample.created_at,sample.updated_at
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,in_preparation,2018-04-19 15:03:55 UTC,2018-04-19 15:03:55 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-19 15:03:55 UTC,2018-04-19 15:03:55 UTC
Gentianes - La Chaux,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-19 15:03:55 UTC,2018-04-19 15:03:55 UTC
Mt - Fort,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-19 15:03:55 UTC,2018-04-19 15:03:55 UTC
Gentianes - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-19 15:03:55 UTC,2018-04-19 15:03:55 UTC
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,open,2018-04-22 06:04:01 UTC,2018-04-22 06:04:01 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-04-22 06:04:01 UTC,2018-04-22 06:04:01 UTC
Gentianes - La Chaux,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-04-22 06:04:01 UTC,2018-04-22 06:04:01 UTC
Mt - Fort,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-04-22 06:04:01 UTC,2018-04-22 06:04:01 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-12 15:03:46 UTC,2018-04-12 15:03:46 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-19 15:03:55 UTC,2018-04-19 15:03:55 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-12 15:03:46 UTC,2018-04-12 15:03:46 UTC
Route de Médran,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-19 15:03:56 UTC,2018-04-19 15:03:56 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-12 15:03:46 UTC,2018-04-12 15:03:46 UTC
Fontanet,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-12 15:03:46 UTC,2018-04-12 15:03:46 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-04-12 15:03:46 UTC,2018-04-12 15:03:46 UTC
