piste.name,piste.created_at,piste.updated_at,sample.state,sample.created_at,sample.updated_at
Gentianes,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Les Gentianes - La Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Mt - Fort,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Gentianes - Tortin,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Combe,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Cabane,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Les Moulins,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Le Rouge,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Les Esserts,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Etiértses,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Lacs bleue,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Hattey,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Attelas,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Fontanet,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Lacs rouge,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Gentianes,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
FIS,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Les Gentianes - La Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Lacs noire,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Route de Médran,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Vallon d'Arbi,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Mont - Gelé,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Chassoure - Tortin,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Col des Mines,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Clambin,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:39 UTC,2017-02-17 07:12:39 UTC
Taillay,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Planards - Carrefour,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Coeur,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Saxon,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Etablons,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Combe du Nord,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Tournelle,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Sud,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-16 07:22:58 UTC,2017-02-16 07:22:58 UTC
Taillay,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Mt - Fort,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Coeur,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Saxon,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Etablons,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Combe du Nord,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Tournelle,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Sud,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-17 07:12:40 UTC,2017-02-17 07:12:40 UTC
Gentianes - Tortin,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Combe,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Cabane,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Les Moulins,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Le Rouge,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Les Esserts,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Etiértses,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Lacs bleue,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Gentianes,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Attelas,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Fontanet,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:57 UTC,2017-02-22 16:04:57 UTC
Lacs rouge,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Les Gentianes - La Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
FIS,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Mt - Fort,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Lacs noire,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Route de Médran,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Vallon d'Arbi,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,closed,2017-02-21 13:13:12 UTC,2017-02-21 13:13:12 UTC
Vallon d'Arbi,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Mont - Gelé,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Col des Mines,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,closed,2017-02-21 13:13:12 UTC,2017-02-21 13:13:12 UTC
Chassoure - Tortin,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Col des Mines,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Gentianes - Tortin,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Taillay,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Planards - Carrefour,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Coeur,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Saxon,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Etablons,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Combe du Nord,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Tournelle,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Sud,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Combe,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Moay,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Grand Tsai,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Pasay,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Monneyeux - La Côt,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Sur le Six,2016-10-20 11:32:38 UTC,2016-10-20 11:32:38 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Pissevache,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Les Otanes,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,in_preparation,2017-02-22 16:04:58 UTC,2017-02-22 16:04:58 UTC
Cabane,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Les Moulins,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Le Rouge,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Les Esserts,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Etiértses,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Lacs bleue,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Gentianes,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-27 07:12:58 UTC,2017-02-27 07:12:58 UTC
Attelas,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Fontanet,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Lacs rouge,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Les Gentianes - La Chaux,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-27 07:12:58 UTC,2017-02-27 07:12:58 UTC
FIS,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Mt - Fort,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-27 07:12:58 UTC,2017-02-27 07:12:58 UTC
Lacs noire,2017-01-10 13:42:54 UTC,2017-01-10 13:42:54 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Route de Médran,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Gentianes - Tortin,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-27 07:12:58 UTC,2017-02-27 07:12:58 UTC
Mont - Gelé,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Chassoure - Tortin,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Combe,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,open,2017-02-26 07:04:15 UTC,2017-02-26 07:04:15 UTC
Cabane,2016-10-20 13:42:25 UTC,2016-10-20 13:42:25 UTC,open,2017-02-26 07:04:15 UTC,2017-02-26 07:04:15 UTC
Taillay,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Planards - Carrefour,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Coeur,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Saxon,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Etablons,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Combe du Nord,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Tournelle,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Sud,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Les Moulins,2016-03-06 23:52:17 UTC,2016-03-06 23:52:17 UTC,open,2017-02-26 07:04:15 UTC,2017-02-26 07:04:15 UTC
Moay,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Grand Tsai,2016-03-06 23:52:18 UTC,2016-03-06 23:52:18 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Pasay,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Monneyeux - La Côt,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Sur le Six,2016-10-20 11:32:38 UTC,2016-10-20 11:32:38 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
Pissevache,2016-03-06 23:52:19 UTC,2016-03-06 23:52:19 UTC,open,2017-02-23 07:13:10 UTC,2017-02-23 07:13:10 UTC
